WARNING: MemModel.v:34: $readmemh(ALU_TEST_inst.hex): Not enough words in the file for the requested range [0:4095].
VCD info: dumpfile myfile.dmp opened for output.
Memory access at time 1334: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1350: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 1366: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1382: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 1398: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1414: addr=0xxxxxx000, write=0, data=xxxxxxxx
Memory access at time 1430: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1446: addr=0xxxxxxxx0, write=0, data=xxxxxxxx
Memory access at time 1462: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1478: addr=0xxxxxxxx0, write=0, data=xxxxxxxx
Memory access at time 1494: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1510: addr=0xxxxxxxx0, write=0, data=xxxxxxxx
Memory access at time 1526: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1542: addr=0xxxxxxxx0, write=0, data=xxxxxxxx
Memory access at time 1558: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1574: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 1590: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1606: addr=0x000000c2, write=0, data=0000fe00
Memory access at time 1622: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1638: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1654: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 1670: addr=0xxxxxxX00, write=0, data=xxxxxxxx
Memory access at time 1686: addr=0xxxxxxX00, write=0, data=xxxxxxxx
Memory access at time 1702: addr=0x00Xxxxxx, write=0, data=xxxxxxxx
Memory access at time 1718: addr=0x00Xxxxxx, write=0, data=xxxxxxxx
Memory access at time 1734: addr=0x00000000, write=0, data=00010000
Memory access at time 1750: addr=0x00000000, write=0, data=00010000
Memory access at time 1766: addr=0x00000000, write=0, data=00010000
Memory access at time 1782: addr=0x00000000, write=0, data=00010000
Memory access at time 1798: addr=0x00000000, write=0, data=00010000
Memory access at time 1814: addr=0x00000000, write=0, data=00010000
Memory access at time 1830: addr=0x00000000, write=0, data=00010000
Memory access at time 1846: addr=0x00000000, write=0, data=00010000
Memory access at time 1862: addr=0x00000000, write=0, data=00010000
Memory access at time 1878: addr=0x00000000, write=0, data=00010000
Memory access at time 1894: addr=0x00000000, write=0, data=00010000
Memory access at time 1910: addr=0x00000000, write=0, data=00010000
Memory access at time 1926: addr=0x00000000, write=0, data=00010000
  ADD: result=0000013a, carry=0, ovf=0, neg=0, zero=0
Memory access at time 1942: addr=0x00000000, write=0, data=00010000
Memory access at time 1958: addr=0x0000013a, write=0, data=0000e7fe
Memory access at time 1974: addr=0x00000000, write=0, data=00000000
Memory access at time 1990: addr=0x00000000, write=0, data=00000000
Memory access at time 2006: addr=0x00000000, write=0, data=00010000
  SUB: a=xxxxxxxx, b=00000002, ~b=fffffffd, result=xxxxxxxx, c=x
  ADD: result=xxxxxxxx, carry=x, ovf=x, neg=x, zero=x
Memory access at time 2038: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 2054: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 2070: addr=0x00000001, write=0, data=00010000
Memory access at time 2086: addr=0x00000000, write=0, data=00010000
Memory access at time 2118: addr=0x00000002, write=0, data=00010000
  ADD: result=00000002, carry=0, ovf=0, neg=0, zero=0
  ADD: result=xxxxxxxx, carry=x, ovf=x, neg=x, zero=x
  ADD: result=xxxxxxxx, carry=x, ovf=x, neg=x, zero=x
Memory access at time 2182: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001d8, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2198: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=00000004, carry=0, ovf=0, neg=0, zero=0
  ADD: result=xxxxxxxx, carry=x, ovf=x, neg=x, zero=x
  ADD: result=00000004, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2278: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001dc, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2294: addr=0x00000004, write=0, data=000000d1
  SUB: a=xxxxxxxx, b=xxxxxxxx, ~b=xxxxxxxx, result=xxxxxxxx, c=x
  SUB: a=00000002, b=xxxxxxxx, ~b=xxxxxxxx, result=xxxxxxxx, c=x
Memory access at time 2390: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001de, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2406: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  SUB: a=xxxxxxxx, b=00000002, ~b=fffffffd, result=xxxxxxxx, c=x
  SUB: a=00000002, b=00000002, ~b=fffffffd, result=00000000, c=0
Memory access at time 2486: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001e2, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2502: addr=0x00000000, write=0, data=00010000
Memory access at time 2598: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001e8, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2614: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 2694: addr=0xXxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001ec, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2710: addr=0xXxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 2806: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001ee, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2822: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 2918: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001f4, carry=0, ovf=0, neg=0, zero=0
Memory access at time 2934: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
